idelem,intensidad,ocupacion,carga
7009,120,48,52
5019,118,5,12
5021,800,9,33
5007,240,0,8
5022,400,2,15
5023,160,0,5
5034,55,22,25
10429,640,2,16
10430,720,4,27
5008,560,5,23
5031,0,0,0
5024,440,4,18
5020,280,8,20
5009,480,4,35
5029,45,1,4
5016,240,3,19
5013,384,2,15
5014,144,1,11
10428,320,1,12
5015,96,0,3
10426,80,0,3
5017,0,0,0
10425,600,9,27
5032,0,0,0
5033,40,0,3
10424,240,1,8
10570,189,1,14
10965,280,2,8
10966,200,0,13
10967,400,0,9
10988,440,3,17
10987,520,4,21
10803,160,17,26
3553,96,19,24
5030,0,0,0
5184,0,0,0
5183,212,2,16
10253,455,12,39
10574,76,6,11
10273,200,3,16
5112,360,6,29
10274,400,6,31
10275,240,2,18
5057,36,1,3
3576,255,10,25
3628,360,2,14
5109,400,9,33
5099,200,1,14
5100,440,20,43
5127,80,47,48
3629,520,6,22
5113,520,10,41
5114,320,3,24
5106,80,2,7
5107,240,7,22
5128,80,2,7
10254,108,54,57
5125,59,33,36
5126,200,90,91
5131,80,23,27
9847,0,12,12
5111,0,0,0
10573,237,4,18
10572,142,0,9
10571,237,3,18
10973,932,7,36
10974,339,2,13
4906,593,9,45
6830,254,4,20
4903,296,3,13
4904,212,11,24
4907,127,9,11
5166,501,7,38
3637,501,10,37
5179,783,9,49
5165,376,10,33
5174,470,7,36
3640,751,10,55
3641,622,7,23
5163,33,1,3
5162,0,0,0
5175,916,3,28
5176,1276,9,41
9992,98,1,7
10224,818,3,25
10223,393,4,29
5181,376,75,57
10222,949,35,76
5161,0,0,0
4918,1167,23,51
4920,254,14,29
4919,42,2,4
4921,42,24,26
4894,127,21,28
4908,85,6,7
3403,141,44,49
5168,63,2,8
3577,0,95,95
5167,0,1,1
5164,33,13,15
5177,65,47,49
5172,327,85,88
5783,420,3,41
5784,120,3,25
5785,300,2,28
5786,340,2,34
5787,440,4,45
5788,400,5,33
5789,520,5,34
5790,440,3,38
5791,620,6,44
5792,360,3,23
3754,300,21,65
5793,280,0,24
5794,499,4,40
5795,200,7,47
3755,240,3,38
5796,180,3,40
5797,80,0,19
5798,120,2,27
5799,140,5,26
5800,340,7,48
5801,200,1,21
5802,180,4,35
5803,180,10,47
5804,460,3,30
5805,999,11,51
5806,240,5,61
3774,60,0,17
5807,120,3,47
5808,80,2,25
5809,60,3,16
5810,220,6,75
7027,400,2,38
7116,280,11,40
5812,580,3,64
5813,499,5,40
3587,460,14,36
5814,340,5,34
5815,600,17,44
5816,740,9,60
5817,720,6,43
5818,480,4,37
5819,480,4,53
5820,360,2,30
5821,540,3,32
5822,300,1,19
5823,460,3,25
5824,1780,7,52
5825,1100,10,45
5826,60,1,38
5827,620,5,48
5828,160,36,49
5829,580,16,32
5831,140,3,43
5832,160,7,64
5833,220,4,40
5834,80,1,15
5835,240,3,35
5836,760,6,57
5837,400,2,32
5838,700,32,40
5839,820,2,32
5840,560,2,29
6945,1280,10,47
5842,980,7,38
5844,1380,11,46
5846,400,3,34
5847,260,4,38
5848,200,1,20
3428,160,1,17
5849,600,5,48
5850,440,4,41
5852,380,14,53
5853,300,82,59
5854,520,4,36
5855,499,9,34
5856,560,2,31
5857,400,1,26
5858,360,2,28
5859,420,6,28
5860,260,1,21
5841,1140,11,43
9840,520,6,37
6947,680,2,32
6946,740,12,35
10063,520,5,31
10064,280,2,15
5864,0,100,48
5865,140,82,47
5867,20,1,17
5868,20,2,4
5869,260,53,68
9856,220,5,15
5907,380,2,34
5908,1320,9,50
5909,740,13,61
5910,840,32,61
5911,640,9,53
5912,540,19,62
5913,380,5,55
5914,700,13,59
5915,280,5,44
5916,460,9,48
5917,300,5,45
5918,420,35,46
5919,460,7,41
5920,60,0,6
5921,480,12,45
3593,520,17,44
3594,480,8,37
5922,520,7,49
5923,700,6,33
5924,460,2,25
5925,300,4,48
3644,640,8,60
3645,220,2,43
5926,440,7,42
3775,440,8,40
3776,460,10,49
3756,720,5,26
10550,700,14,29
5927,260,1,15
5928,580,5,37
5929,0,98,47
5930,0,98,48
5931,20,0,17
5932,100,1,9
5933,160,5,23
5934,160,5,42
5935,180,10,47
5936,120,56,42
5937,100,2,39
5938,20,0,10
5939,600,2,33
5940,600,3,28
5941,260,7,27
5942,680,3,32
10552,920,8,28
10553,240,5,28
10555,480,2,20
10556,740,5,29
10554,280,1,20
10558,760,5,21
